IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
202.139.228.24,12321,443,true,HKG,Asia Pacific,Hong Kong,31,28.87
43.228.146.80,30810,80,false,HKG,Asia Pacific,Hong Kong,23,23.59
202.139.228.24,12345,443,true,HKG,Asia Pacific,Hong Kong,32,22.65
51.107.6.138,8443,443,true,MXP,Europe,Milan,228,19.91
20.27.111.153,443,443,true,KIX,Asia Pacific,Osaka,92,14.30
20.106.123.66,2053,443,true,LAX,North America,Los Angeles,212,13.48
20.214.204.10,8443,443,true,ICN,Asia Pacific,Seoul,102,11.37
103.148.72.147,1443,443,true,HKG,Asia Pacific,Hong Kong,68,28.90
161.81.161.255,19918,443,true,HKG,Asia Pacific,Hong Kong,46,29.09
161.81.170.146,13568,443,true,HKG,Asia Pacific,Hong Kong,54,26.66
223.122.34.65,23690,443,true,HKG,Asia Pacific,Hong Kong,56,25.82
161.81.232.8,28532,443,true,HKG,Asia Pacific,Hong Kong,54,25.78
161.81.204.13,30133,443,true,HKG,Asia Pacific,Hong Kong,44,25.65
58.82.237.251,11997,443,true,HKG,Asia Pacific,Hong Kong,54,24.64
223.122.34.65,36131,443,true,HKG,Asia Pacific,Hong Kong,55,20.80
161.81.204.13,23093,443,true,HKG,Asia Pacific,Hong Kong,42,18.62
154.40.33.4,8081,80,false,LAX,North America,Los Angeles,178,22.60
34.96.192.168,2083,443,true,HKG,Asia Pacific,Hong Kong,53,32.27
34.96.192.168,2096,443,true,HKG,Asia Pacific,Hong Kong,53,31.57
34.36.1.38,80,80,false,LAX,North America,Los Angeles,194,25.22
34.120.254.145,80,80,false,HKG,Asia Pacific,Hong Kong,53,21.07
34.120.80.23,80,80,false,LHR,Europe,London,275,19.82
34.160.118.77,80,80,false,HKG,Asia Pacific,Hong Kong,51,18.67
35.244.129.163,80,80,false,LAX,North America,Los Angeles,208,17.07
34.49.97.148,80,80,false,LAX,North America,Los Angeles,217,15.89
34.111.135.19,80,80,false,HKG,Asia Pacific,Hong Kong,55,12.10
35.204.94.66,8443,443,true,AMS,Europe,Amsterdam,269,10.15
202.86.138.58,50000,443,true,MFM,Asia Pacific,Macau,45,54.72
193.32.150.41,22363,443,true,NRT,Asia Pacific,Tokyo,86,35.84
185.200.64.72,8006,80,false,NRT,Asia Pacific,Tokyo,88,30.72
103.201.130.137,23633,443,true,NRT,Asia Pacific,Tokyo,90,10.72
43.154.96.33,80,80,false,HKG,Asia Pacific,Hong Kong,44,29.84
43.154.96.33,443,443,true,HKG,Asia Pacific,Hong Kong,43,24.44
194.104.146.124,30810,80,false,HKG,Asia Pacific,Hong Kong,38,40.34
