IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,312,0.12
8.222.227.191,8080,8080,false,SIN,Asia Pacific,Singapore,276,0.12
8.222.187.107,2052,2052,false,SIN,Asia Pacific,Singapore,283,0.12
47.236.116.182,2082,2082,false,SIN,Asia Pacific,Singapore,313,0.12
8.222.229.22,2087,2087,true,SIN,Asia Pacific,Singapore,288,0.12
8.222.129.245,2082,2082,false,SIN,Asia Pacific,Singapore,271,0.12
8.219.198.139,2052,2052,false,SIN,Asia Pacific,Singapore,325,0.12
47.236.121.7,2086,2086,false,SIN,Asia Pacific,Singapore,314,0.11
47.236.99.131,2086,2086,false,SIN,Asia Pacific,Singapore,322,0.11
8.222.229.102,80,80,false,SIN,Asia Pacific,Singapore,280,0.11
8.222.145.110,2096,2096,true,SIN,Asia Pacific,Singapore,276,0.11
8.222.155.242,2052,2052,false,SIN,Asia Pacific,Singapore,288,0.11
47.236.79.77,2052,2052,false,SIN,Asia Pacific,Singapore,331,0.11
8.219.194.170,2086,2086,false,SIN,Asia Pacific,Singapore,318,0.11
8.222.221.197,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.11
47.236.5.223,2095,2095,false,SIN,Asia Pacific,Singapore,326,0.11
8.219.222.98,2086,2086,false,SIN,Asia Pacific,Singapore,318,0.11
8.219.198.139,2053,0,true,SIN,Asia Pacific,Singapore,328,0.11
8.219.121.87,2082,2082,false,SIN,Asia Pacific,Singapore,288,0.11
47.236.144.48,2096,2096,true,SIN,Asia Pacific,Singapore,327,0.11
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,283,0.11
8.219.101.72,2086,0,false,SIN,Asia Pacific,Singapore,281,0.11
8.219.134.117,2086,2086,false,SIN,Asia Pacific,Singapore,330,0.11
8.219.121.87,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.11
8.222.137.178,2086,2086,false,SIN,Asia Pacific,Singapore,264,0.11
47.236.150.109,2086,2086,false,SIN,Asia Pacific,Singapore,318,0.11
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,323,0.11
8.219.222.98,8080,8080,false,SIN,Asia Pacific,Singapore,319,0.11
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,323,0.11
8.219.66.156,2052,0,false,SIN,Asia Pacific,Singapore,278,0.11
8.222.145.164,2086,2086,false,SIN,Asia Pacific,Singapore,284,0.11
47.236.7.206,8080,8080,false,SIN,Asia Pacific,Singapore,329,0.11
47.236.7.13,80,80,false,SIN,Asia Pacific,Singapore,340,0.11
47.236.119.253,2082,2082,false,SIN,Asia Pacific,Singapore,329,0.11
8.222.182.10,8443,8443,true,SIN,Asia Pacific,Singapore,268,0.11
8.222.227.191,8880,8880,false,SIN,Asia Pacific,Singapore,287,0.11
8.219.82.177,8080,8080,false,SIN,Asia Pacific,Singapore,287,0.11
8.222.150.197,2082,2082,false,SIN,Asia Pacific,Singapore,280,0.10
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,320,0.10
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,280,0.10
8.222.137.178,80,80,false,SIN,Asia Pacific,Singapore,282,0.10
8.222.214.231,8443,8443,true,SIN,Asia Pacific,Singapore,272,0.10
8.219.170.223,2086,2086,false,SIN,Asia Pacific,Singapore,317,0.10
8.222.130.137,8880,8880,false,SIN,Asia Pacific,Singapore,276,0.10
47.236.121.7,80,80,false,SIN,Asia Pacific,Singapore,331,0.10
8.222.237.131,2052,2052,false,SIN,Asia Pacific,Singapore,283,0.10
47.236.97.254,2086,2086,false,SIN,Asia Pacific,Singapore,330,0.10
8.222.131.102,2082,2082,false,SIN,Asia Pacific,Singapore,275,0.10
8.219.242.208,2052,2052,false,SIN,Asia Pacific,Singapore,313,0.10
47.236.116.182,8880,0,false,SIN,Asia Pacific,Singapore,322,0.10
8.219.170.223,2096,2096,true,SIN,Asia Pacific,Singapore,326,0.10
47.236.87.206,80,80,false,SIN,Asia Pacific,Singapore,323,0.10
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,275,0.10
8.222.168.24,2052,2052,false,SIN,Asia Pacific,Singapore,283,0.09
47.236.144.196,2087,2087,true,SIN,Asia Pacific,Singapore,311,0.09
47.236.116.26,2082,2082,false,SIN,Asia Pacific,Singapore,337,0.09
8.222.167.8,2095,2095,false,SIN,Asia Pacific,Singapore,279,0.09
8.219.40.255,8443,8443,true,SIN,Asia Pacific,Singapore,287,0.09
8.219.199.220,80,80,false,SIN,Asia Pacific,Singapore,318,0.09
