IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
131.186.43.107,2095,2095,false,NRT,Asia Pacific,Tokyo,107,27.13
158.179.188.7,2095,2095,false,NRT,Asia Pacific,Tokyo,110,27.05
132.145.112.168,2052,2052,false,NRT,Asia Pacific,Tokyo,105,25.85
141.147.189.242,2082,2082,false,NRT,Asia Pacific,Tokyo,106,25.49
138.2.92.11,2083,2083,true,SIN,Asia Pacific,Singapore,138,24.30
158.178.242.56,80,80,false,SIN,Asia Pacific,Singapore,85,24.30
138.2.92.11,2052,2052,false,SIN,Asia Pacific,Singapore,101,24.11
158.101.90.190,8080,8080,false,NRT,Asia Pacific,Tokyo,105,22.43
168.138.194.121,2087,2087,true,NRT,Asia Pacific,Tokyo,107,22.24
141.147.168.13,2096,2096,true,NRT,Asia Pacific,Tokyo,105,21.99
158.101.159.181,80,80,false,NRT,Asia Pacific,Tokyo,105,21.88
150.230.199.118,8443,8443,true,NRT,Asia Pacific,Tokyo,106,21.41
141.147.178.202,8880,8880,false,NRT,Asia Pacific,Tokyo,123,21.28
150.230.219.83,2082,2082,false,NRT,Asia Pacific,Tokyo,105,21.26
151.145.74.56,8880,8880,false,NRT,Asia Pacific,Tokyo,104,20.58
131.186.47.223,8443,8443,true,NRT,Asia Pacific,Tokyo,105,20.20
158.179.186.251,2053,2053,true,NRT,Asia Pacific,Tokyo,102,20.08
158.178.242.5,2083,2083,true,SIN,Asia Pacific,Singapore,104,19.94
168.138.194.121,80,80,false,NRT,Asia Pacific,Tokyo,107,19.93
158.178.246.169,80,80,false,SIN,Asia Pacific,Singapore,125,19.73
141.147.178.202,2083,2083,true,NRT,Asia Pacific,Tokyo,105,19.55
138.2.7.72,2087,2087,true,NRT,Asia Pacific,Tokyo,108,19.35
141.147.169.131,2052,2052,false,NRT,Asia Pacific,Tokyo,99,19.21
168.138.184.64,2087,2087,true,SIN,Asia Pacific,Singapore,103,18.95
151.145.71.127,2083,2083,true,NRT,Asia Pacific,Tokyo,106,18.94
150.230.199.118,2053,2053,true,NRT,Asia Pacific,Tokyo,102,18.50
131.186.46.75,2096,2096,true,NRT,Asia Pacific,Tokyo,109,18.26
131.186.37.69,8080,8080,false,NRT,Asia Pacific,Tokyo,116,18.24
158.179.188.159,2095,2095,false,NRT,Asia Pacific,Tokyo,107,18.24
158.178.246.169,8443,8443,true,SIN,Asia Pacific,Singapore,88,18.23
141.147.178.202,2086,2086,false,NRT,Asia Pacific,Tokyo,111,18.19
131.186.45.88,80,80,false,NRT,Asia Pacific,Tokyo,106,18.17
138.2.76.91,80,80,false,SIN,Asia Pacific,Singapore,135,18.14
141.147.186.210,2086,2086,false,NRT,Asia Pacific,Tokyo,110,17.98
132.226.5.102,80,80,false,NRT,Asia Pacific,Tokyo,127,17.87
141.147.162.204,8880,8880,false,NRT,Asia Pacific,Tokyo,110,17.81
